_ID_,acc1[0],acc1[1],acc1[2],acc2[0],acc2[1],acc2[2],pqr1[0],pqr1[1],pqr1[2],pqr2[0],pqr2[1],pqr2[2],status,time
31,0.082403183,1.81425238,-8.35262489,0.06301976,1.80026221,-8.66849709,-0.00448284857,-0.0298627727,-0.0119805513,-0.0108606853,-0.0502052382,-0.000165867954,0,210.97079443687107
38,0.082403183,1.81425238,-8.35262489,0.06301976,1.80026221,-8.66849709,-0.00341100618,-0.0426942818,-0.0109016867,-0.0087055536,-0.0448591672,-0.00124843104,0,210.97179443691857
41,0.0775502026,1.86688221,-8.41514301,0.0533421561,1.78585565,-8.68752289,-0.00340297399,-0.0416101515,-0.00555080408,-0.0108515378,-0.0480752438,-0.00444241008,0,210.97279443696607
42,0.0775502026,1.86688221,-8.41514301,0.0533421561,1.78585565,-8.68752289,-0.00127629645,-0.0341210812,-0.00662924675,-0.0151392594,-0.0544781722,-0.0012235007,0,210.97379443701357
43,0.10123609,1.84261811,-8.54945469,0.0342049859,1.79989123,-8.77336216,-0.000219183596,-0.0341334864,-0.0119821513,-0.014072421,-0.054462757,0.00518204086,0,210.97479443706106
46,0.10123609,1.84261811,-8.54945469,0.0342049859,1.79989123,-8.77336216,-0.00127787574,-0.043757055,-0.00983295962,-0.00873582531,-0.0512686335,0.00517661497,0,210.97579443710856
47,0.0962440223,1.80882978,-8.65011024,0.0914473981,1.78941393,-8.88763332,-0.00659802277,-0.0458950251,-0.00554392347,-0.00555214519,-0.0523718297,-0.00122166926,0,210.97679443715606
48,0.0962440223,1.80882978,-8.65011024,0.0914473981,1.78941393,-8.88763332,-0.006597111,-0.0437527411,-0.00447520753,-0.0098417541,-0.0587877482,-0.00227247993,0,210.97779443720356
49,0.100997865,1.8279556,-8.67895985,0.0722015202,1.7843467,-8.96388054,-0.00341125112,-0.0373428874,-0.00983540528,-0.0109374505,-0.0652028844,0.000949315727,0,210.97879443725105
54,0.100997865,1.8279556,-8.67895985,0.0722015202,1.7843467,-8.96388054,-0.00554452185,-0.0405618101,-0.011971225,-0.0066584032,-0.0609267056,0.00307437754,0,210.97979443729855
55,0.0576809384,1.88039088,-8.83258247,0.0625313222,1.78853536,-9.09256554,-0.00766835874,-0.0512571037,-0.00982000958,-0.00556822447,-0.0555830598,-0.000144005186,0,210.98079443734605
56,0.0576809384,1.88039088,-8.83258247,0.0625313222,1.78853536,-9.09256554,-0.00552642532,-0.0533751436,-0.00339877699,-0.00452675484,-0.0598763488,-0.00119683042,0,210.98179443739355
57,0.124642909,1.88510096,-8.87587833,0.0339815617,1.82196915,-9.14035606,-0.000199789007,-0.0458742343,-0.00234017661,-0.00669197645,-0.0673589036,0.00202741381,0,210.98279443744104
60,0.124642909,1.88510096,-8.87587833,0.0339815617,1.82196915,-9.14035606,-0.0044716266,-0.0469693393,-0.00875655189,-0.00883150008,-0.0694969967,0.0009648829,0,210.98379443748854
61,0.143588811,1.80818582,-8.95725346,0.0529251508,1.80232382,-9.21651649,-0.0108697563,-0.0566232204,-0.0140936738,-0.0087969834,-0.0630582944,0.00414670678,0,210.98479443753604
62,0.143588811,1.80818582,-8.95725346,0.0529251508,1.80232382,-9.21651649,-0.0129925404,-0.060894534,-0.0098066479,-0.00559029216,-0.0598690286,-0.000130361019,0,210.98579443758354
67,0.109629102,1.85557473,-9.23083496,0.0525685884,1.80086398,-9.50718117,-0.00338792079,-0.0597807094,-0.000185330267,-0.00775552401,-0.0673571378,0.000959320925,0,210.99581201176625
68,0.100055434,1.8987025,-9.25013638,0.0191722549,1.80617785,-9.44052124,-0.00233129784,-0.0490903221,-0.0034056732,-0.0088608386,-0.0759055093,0.00739022763,0,210.99681201181374
69,0.100055434,1.8987025,-9.25013638,0.0191722549,1.80617785,-9.44052124,-0.00234087254,-0.0458956435,-0.00875980128,-0.00567890238,-0.0780542195,0.00953479391,0,210.99781201186124
70,0.0760107711,1.88420022,-9.30283737,0.00950140879,1.80572391,-9.54059982,-0.00234129443,-0.0587407239,-0.0119610792,-0.000331273041,-0.0727171153,0.00952254608,0,210.99881201190874
