_ID_,mag[0],mag[1],mag[2],time
895,1.48890316,5.41920185,-3.71325636,212.45883642882109
901,1.49865675,5.38348198,-3.75369978,212.46883642929606
906,1.47623646,5.41849327,-3.74943566,212.47883642977104
911,1.45307267,5.40226269,-3.74012899,212.48883643024601
919,1.46315706,5.41180658,-3.75535178,212.49881201190874
928,1.49914694,5.41547537,-3.75912952,212.50877709989436
933,1.46043515,5.44041538,-3.76989603,212.51877710036933
938,1.48923135,5.41876411,-3.74364829,212.52877710084431
943,1.46962202,5.4119854,-3.74941897,212.53877710131928
951,1.48567677,5.40931225,-3.72857094,212.54877710179426
955,1.47326112,5.42785358,-3.76436687,212.55877710226923
962,1.4570303,5.4372921,-3.76076865,212.56877710274421
967,1.46317649,5.41831017,-3.74914384,212.57877710321918
973,1.47313797,5.4084301,-3.77691245,212.58877710369416
979,1.48609436,5.4152894,-3.75882769,212.59878759784624
987,1.49264359,5.42188549,-3.75276542,212.60878759832121
992,1.48635483,5.41494036,-3.78314447,212.61878759879619
997,1.47645855,5.42473269,-3.76145458,212.62878759927116
1002,1.47964883,5.42161417,-3.75855279,212.63878759974614
1008,1.47290409,5.41528082,-3.74637771,212.64878760022111
1013,1.46335983,5.41154146,-3.77357936,212.65878760069609
1020,1.49236369,5.41573095,-3.73465705,212.66878760117106
1025,1.44646561,5.39575243,-3.74010205,212.67878760164604
1031,1.47641981,5.41172504,-3.77387118,212.68878760212101
1046,1.49252188,5.40246105,-3.7653091,212.70885473699309
1051,1.4568702,5.4244566,-3.76101494,212.71885473746806
1058,1.46629119,5.40877247,-3.74635887,212.72885473794304
1070,1.49917507,5.42197657,-3.75290942,212.74885473889299
1075,1.45693529,5.42436934,-3.76709414,212.75885473936796
1085,1.45961154,5.40235186,-3.74026299,212.77885474031791
1097,1.4764601,5.42473221,-3.76145267,212.79883032245561
1108,1.47940266,5.40236282,-3.75893021,212.81883032340556
1114,1.46961749,5.40547705,-3.75560689,212.82883032388054
1119,1.46364725,5.41769361,-3.79167771,212.83883032435551
1126,1.48337984,5.44389629,-3.77336144,212.84883032483049
1137,1.48590636,5.4155488,-3.74058032,212.86883032578044
1142,1.47295725,5.40868759,-3.75865507,212.87883032625541
1167,1.46983802,5.41171694,-3.76762819,212.91878515691496
1173,1.47959697,5.42169714,-3.75245547,212.92878515738994
1178,1.46992958,5.39853525,-3.79220295,212.93878515786491
1187,1.46309328,5.40538406,-3.75545287,212.94878515833989
1191,1.45335376,5.40190697,-3.76441765,212.95878515881486
1197,1.47332752,5.42125607,-3.77662635,212.96878515928984
1202,1.4535228,5.41473961,-3.76415944,212.97878515976481
1208,1.47645235,5.41822481,-3.76764488,212.98878516023979
1214,1.47289801,5.40877295,-3.75256801,212.99878149433061
1222,1.48242974,5.38641024,-3.75627804,213.00878149480559
1227,1.4863224,5.42152739,-3.77083898,213.01878149528056
1232,1.47938907,5.39585733,-3.76513052,213.02878149575554
1237,1.46605432,5.38951874,-3.74672318,213.03878149623051
1243,1.45320904,5.39557648,-3.75846052,213.04878149670549
1248,1.46305954,5.39237499,-3.76786256,213.05878149718046
1255,1.48947167,5.42499781,-3.75564218,213.06878149765544
1272,1.47949791,5.40877581,-3.75878596,213.09884863300249
1290,1.49536443,5.38676691,-3.74440479,213.12884863442741
1295,1.4633975,5.41803932,-3.76734591,213.13884863490239
1303,1.44325471,5.38585854,-3.75539541,213.14884863537736
1308,1.48941362,5.40548706,-3.77426696,213.15884863585234
1313,1.47645748,5.4182229,-3.76763773,213.16884863632731
1318,1.45671773,5.41161919,-3.76125002,213.17884863680229
1324,1.46637297,5.40867996,-3.75241494,213.18884863727726
1335,1.47001207,5.42454767,-3.76736283,213.20882421941496
1340,1.47292233,5.41527557,-3.74635243,213.21882421988994
1346,1.48906863,5.39942026,-3.75007987,213.22882422036491
1350,1.46682179,5.42766714,-3.7702651,213.23882422083989
1356,1.45663583,5.40520239,-3.7613759,213.24882422131486
1361,1.47930515,5.40903711,-3.74054503,213.25882422178984
1367,1.47330868,5.43434858,-3.7581203,213.26882422226481
1385,1.46629107,5.40226269,-3.75254083,213.29879980487749
1393,1.48942852,5.4315877,-3.74335194,213.30877905292436
1398,1.46026802,5.44066858,-3.75162005,213.31877905339934
1404,1.47950053,5.40877485,-3.75878263,213.32877905387431
1409,1.45350385,5.42783213,-3.74565339,213.33877905434929
1422,1.48290384,5.41189814,-3.76791191,213.35877905529924
1428,1.46010423,5.40823841,-3.77658486,213.36877905577421
1430,1.46328747,5.42471743,-3.74897885,213.39877539081499
1438,1.4666537,5.41483402,-3.77052236,213.40877539128996
1443,1.4766854,5.45056629,-3.74875426,213.41877539176494
1453,1.45665359,5.41170597,-3.75516987,213.43877539271489
