_ID_,cnoMean,ecef[0],ecef[1],ecef[2],hAcc,hMSL,lla[0],lla[1],lla[2],pDop,status,timeOfWeekMs,towOffset,vAcc,week
87227,32.1153831,3098927.4100000001,1010925.48,5463977.1299999999,0.784000039,49.5480042,59.349975799999996,18.067251199999998,73.808999999999997,1.12,1074594580,399358800,398844.27911531623,1.08000004,2039
87345,32.2307701,3098927.4300000002,1010925.51,5463977.1399999997,0.784000039,49.5720024,59.349975699999995,18.067251599999999,73.832000000000008,1.12,1074594580,399359000,398844.27917635138,1.079,2039
87466,32.1923065,3098927.4500000002,1010925.53,5463977.1500000004,0.783000052,49.5920029,59.349975499999999,18.067251899999999,73.852000000000004,1.12,1074594580,399359200,398844.27917635138,1.079,2039
87584,32.3461533,3098927.46,1010925.55,5463977.1600000001,0.782000065,49.6080017,59.349975499999999,18.067252099999997,73.869,1.12,1074594580,399359400,398844.27917635138,1.079,2039
87695,32.3846169,3098927.46,1010925.5600000001,5463977.1600000001,0.781000018,49.6150017,59.349975499999999,18.067252199999999,73.876000000000005,1.13999999,1074594579,399359600,398844.27917635138,1.07800007,2039
87814,32.4230766,3098927.46,1010925.5700000001,5463977.1799999997,0.781000018,49.6310005,59.349975499999999,18.067252399999997,73.891000000000005,1.13999999,1074594579,399359800,398844.27917635138,1.07800007,2039
87929,32.4615402,3098927.4700000002,1010925.5800000001,5463977.2000000002,0.780000031,49.656002,59.349975499999999,18.0672526,73.917000000000002,1.13999999,1074594579,399360000,398844.2791458338,1.07800007,2039
88046,32.5769234,3098927.4900000002,1010925.6,5463977.2400000002,0.779000044,49.6990013,59.349975499999999,18.067252799999999,73.959000000000003,1.13999999,1074594579,399360200,398844.2791458338,1.07700002,2039
88160,32.6153831,3098927.5,1010925.61,5463977.2700000005,0.778000057,49.7320023,59.349975499999999,18.0672529,73.992999999999995,1.13999999,1074594579,399360400,398844.2791458338,1.07700002,2039
88276,32.5769234,3098927.5,1010925.63,5463977.2700000005,0.77700001,49.7360039,59.349975499999999,18.0672532,73.997,1.13999999,1074594579,399360600,398844.2791458338,1.07600009,2039
88388,32.6153831,3098927.5100000002,1010925.65,5463977.3100000005,0.776000023,49.7770042,59.3499756,18.0672535,74.037999999999997,1.13999999,1074594579,399360800,398844.2791458338,1.07500005,2039
88507,32.5384598,3098927.5100000002,1010925.67,5463977.3300000001,0.774000049,49.802002,59.3499756,18.067253900000001,74.063000000000002,1.17999995,1074594578,399361000,398844.27920702891,1.074,2039
88627,32.5384598,3098927.52,1010925.6900000001,5463977.3500000006,0.773000062,49.8200035,59.349975499999999,18.067254200000001,74.079999999999998,1.17999995,1074594578,399361200,398844.27920702891,1.07300007,2039
88745,32.4615402,3098927.52,1010925.7000000001,5463977.3600000003,0.772000015,49.8350029,59.349975499999999,18.067254399999999,74.096000000000004,1.17999995,1074594578,399361400,398844.27920702891,1.07300007,2039
88861,32.4230766,3098927.5100000002,1010925.72,5463977.3700000001,0.772000015,49.8430023,59.3499756,18.067254599999998,74.103000000000009,1.17999995,1074594578,399361600,398844.27920702891,1.074,2039
88974,32.4230766,3098927.5,1010925.73,5463977.3700000001,0.772000015,49.8440018,59.349975699999995,18.067254800000001,74.103999999999999,1.17999995,1074594578,399361800,398844.27920702891,1.074,2039
89089,32.6923065,3098927.4900000002,1010925.72,5463977.3500000006,0.772000015,49.8120041,59.349975699999995,18.067254899999998,74.073000000000008,1.17999995,1074594578,399362000,398844.27917635138,1.07300007,2039
89202,32.4230766,3098927.48,1010925.72,5463977.3300000001,0.771000028,49.7980042,59.349975699999995,18.067254899999998,74.058000000000007,1.17999995,1074594578,399362200,398844.27917635138,1.07300007,2039
89317,32.1923065,3098927.48,1010925.72,5463977.3399999999,0.770000041,49.8000031,59.349975699999995,18.067254899999998,74.061000000000007,1.17999995,1074594578,399362400,398844.27917635138,1.07200003,2039
89432,31.9230766,3098927.48,1010925.72,5463977.3799999999,0.769000053,49.8410034,59.349975899999997,18.067254899999998,74.102000000000004,1.17999995,1074594578,399362600,398844.27917635138,1.07200003,2039
89546,32,3098927.5,1010925.73,5463977.4299999997,0.768000007,49.8860016,59.349975999999998,18.067254899999998,74.147000000000006,1.17999995,1074594578,399362800,398844.27917635138,1.0710001,2039
89661,32.3199997,3098927.5300000003,1010925.74,5463977.5200000005,0.768000007,49.9890022,59.349976099999999,18.067254899999998,74.248999999999995,1.17999995,1074594578,399363000,398844.2791458338,1.07300007,2039
89775,32.4000015,3098927.5500000003,1010925.76,5463977.5899999999,0.770000041,50.0580025,59.3499762,18.067255100000001,74.319000000000003,1.25999999,1074594577,399363200,398844.2791458338,1.07600009,2039
89891,32.4799995,3098927.5600000001,1010925.79,5463977.6000000006,0.771000028,50.076004,59.3499762,18.067255499999998,74.335999999999999,1.25999999,1074594577,399363400,398844.2791458338,1.07700002,2039
90006,32.5600014,3098927.5500000003,1010925.8200000001,5463977.6000000006,0.772000015,50.0780029,59.349976099999999,18.067256099999998,74.338999999999999,1.50999999,1074594576,399363600,398844.2791458338,1.07600009,2039
90124,32.0769234,3098927.54,1010925.84,5463977.6000000006,0.772000015,50.0730019,59.3499762,18.0672566,74.332999999999998,1.18999994,1074594578,399363800,398844.2791458338,1.07500005,2039
