_ID_,hdwStatus,insStatus,lla[0],lla[1],lla[2],ned[0],ned[1],ned[2],theta[0],theta[1],theta[2],timeOfWeek,uvw[0],uvw[1],uvw[2],week
2107,91,25369463,59.338652668147759,18.107083275198782,38.323500744067132,-0.295228779,-0.110661283,-7.12745333,-0.231241509,-0.364997804,2.40266776,399658.08511614456,-0.224409968,0.203713149,-0.72598505,2040
2110,91,25368951,59.33865266582621,18.10708327649186,38.326627920381725,-0.295486748,-0.110588014,-7.13058043,-0.23069647,-0.365186751,2.40454149,399658.08911614475,-0.221362352,0.198667139,-0.72393018,2040
2113,91,25369975,59.33865266355798,18.107083278075589,38.329737724736333,-0.295738786,-0.110498257,-7.13369036,-0.230219111,-0.365380049,2.40643668,399658.09311614494,-0.218360364,0.193252668,-0.721323669,2040
2116,91,25368951,59.338652661348334,18.107083279955688,38.332829699851573,-0.295984328,-0.110391729,-7.13678217,-0.229787752,-0.365580916,2.4083426,399658.09711614513,-0.215364307,0.187909693,-0.719052255,2040
2119,91,25369975,59.338652659193329,18.107083282132827,38.335904597304761,-0.296223789,-0.110268362,-7.13985729,-0.229439586,-0.365821511,2.41023445,399658.10111614532,-0.212397307,0.18279855,-0.716771603,2040
2122,91,25369975,59.338652657091849,18.107083284613399,38.338962798006833,-0.29645732,-0.110127784,-7.14291573,-0.229150236,-0.366097808,2.41209412,399658.10511614551,-0.209394306,0.177509472,-0.714696467,2040
2125,91,25368951,59.338652655040896,18.107083287423002,38.34200554061681,-0.296685219,-0.109968573,-7.14595842,-0.228812993,-0.366416693,2.4139142,399658.1091161457,-0.206165284,0.172154173,-0.713258862,2040
2128,91,25369975,59.338652653035354,18.107083290580089,38.345032399520278,-0.296908081,-0.10978967,-7.14898491,-0.228495955,-0.366791517,2.41569257,399658.11311614589,-0.202660799,0.166635528,-0.711206198,2040
2131,91,25368951,59.338652651071371,18.1070832940873,38.34804227296263,-0.297126323,-0.109590925,-7.15199518,-0.228168607,-0.367212147,2.41742802,399658.11711614608,-0.199139148,0.161256239,-0.709287345,2040
2134,91,25369975,59.338652649144265,18.107083297939177,38.351034854538739,-0.297340453,-0.109372653,-7.15498734,-0.227795064,-0.367675364,2.41912866,399658.12111614627,-0.195581049,0.155942917,-0.707046866,2040
2137,91,25369975,59.338652647253205,18.107083302129801,38.354008868336678,-0.297550589,-0.109135181,-7.15796137,-0.227394179,-0.36819014,2.420789,399658.12511614646,-0.191992313,0.150509983,-0.704469502,2040
2140,91,25368951,59.338652645393381,18.107083306653777,38.356963532976806,-0.297757268,-0.108878821,-7.16091633,-0.226952434,-0.368750155,2.42242575,399658.12911614665,-0.188288152,0.145347998,-0.701826632,2040
2143,91,25369975,59.338652643556095,18.107083311496869,38.359898276627064,-0.297961414,-0.108604379,-7.16385078,-0.226461485,-0.369338989,2.42404461,399658.13311614684,-0.184574991,0.140396774,-0.698875904,2040
2146,91,25368951,59.338652641739628,18.107083316650193,38.362812453880906,-0.298163235,-0.108312353,-7.16676521,-0.225904569,-0.369937629,2.42565656,399658.13711614703,-0.180884838,0.135314986,-0.695852399,2040
2149,91,25369975,59.338652639941799,18.107083322112846,38.365705168806016,-0.29836303,-0.108002804,-7.16965771,-0.225271195,-0.370533586,2.42726231,399658.14111614722,-0.176955968,0.13026768,-0.692510784,2040
2152,91,25369975,59.338652638161896,18.107083327876374,38.36857551522553,-0.298560828,-0.107676208,-7.17252827,-0.22458367,-0.371095121,2.4288764,399658.14511614741,-0.173209667,0.125185758,-0.689000726,2040
2155,91,25368951,59.338652636398024,18.107083333919586,38.371423578821123,-0.298756808,-0.107333757,-7.17537642,-0.223793104,-0.371584117,2.43048501,399658.1491161476,-0.169523478,0.120526016,-0.685498476,2040
2158,91,25369975,59.338652634642514,18.107083340219489,38.374249845743179,-0.298951894,-0.106976755,-7.17820263,-0.222894609,-0.371987849,2.4321022,399658.15311614779,-0.165863931,0.116098657,-0.682041168,2040
2161,91,25368951,59.338652632890614,18.107083346752802,38.377053344622254,-0.299146563,-0.106606528,-7.18100595,-0.221864626,-0.372289985,2.43373156,399658.15711614798,-0.162098408,0.111819193,-0.677913666,2040
2164,91,25369975,59.338652631140071,18.107083353506766,38.379832276143134,-0.299341083,-0.106223799,-7.18378496,-0.220763043,-0.372475863,2.4353838,399658.16111614817,-0.158104748,0.107413337,-0.673552394,2040
