_ID_,acc1[0],acc1[1],acc1[2],acc2[0],acc2[1],acc2[2],pqr1[0],pqr1[1],pqr1[2],pqr2[0],pqr2[1],pqr2[2],status,time
7443,-3.11837125,-3.08670688,-11.286891,-3.14718914,-3.18605566,-11.4569941,0.109205596,-0.0986896902,-0.22234416,0.111150719,-0.104012743,-0.224402815,541103648,1663.4038726408035
7446,-3.1587472,-3.10678983,-11.2376251,-3.22423673,-3.219208,-11.4426622,0.053906478,-0.0718714222,-0.231752202,0.0573171601,-0.07360439,-0.218827724,541103648,1663.4078726409934
7451,-3.25018048,-3.1117487,-11.1564388,-3.30624652,-3.20309401,-11.30266,-0.000316364982,-0.035516303,-0.223007545,0.00910859834,-0.0396841243,-0.22734803,541103648,1663.4118726411834
7454,-3.33682823,-3.12765265,-11.2380314,-3.39000702,-3.2168467,-11.4231138,-0.0492645763,-0.00477719633,-0.238634333,-0.0480721369,-0.00454700924,-0.238856062,541103648,1663.4158726413734
7457,-3.3920548,-3.1242187,-11.3381433,-3.37984776,-3.20130205,-11.4993896,-0.112909511,0.0346347615,-0.239564255,-0.109423123,0.0319870189,-0.232979015,541103648,1663.4198726415634
7460,-3.39096665,-3.0708034,-11.2605467,-3.41897273,-3.14870358,-11.5190639,-0.171486929,0.074412927,-0.236989304,-0.163071021,0.0671108812,-0.244639188,541103648,1663.4238726417534
7463,-3.38657379,-2.97463751,-11.330699,-3.4397583,-3.10842109,-11.486866,-0.234601587,0.0988399908,-0.25206238,-0.232409328,0.0990926102,-0.24181661,541103648,1663.4278726419434
7466,-3.35658288,-2.84961724,-11.429493,-3.38283563,-2.93348074,-11.6105108,-0.293576062,0.139660418,-0.247148812,-0.284661382,0.130806148,-0.245623246,541103648,1663.4318726421334
7469,-3.28616977,-2.66421294,-11.5281954,-3.33621693,-2.76149893,-11.6820364,-0.333772182,0.160088688,-0.256476641,-0.330251038,0.155511275,-0.258470982,541103648,1663.4358726423234
7472,-3.16396785,-2.50261688,-11.5357533,-3.24064445,-2.63179159,-11.6691542,-0.385935217,0.177623361,-0.269716084,-0.382233888,0.174518555,-0.256127268,541103648,1663.4398726425134
7475,-3.08105922,-2.27696753,-11.5924578,-3.10168886,-2.36973023,-11.706604,-0.429858595,0.195363939,-0.260986179,-0.422277272,0.190262198,-0.268685311,541103648,1663.4438726427034
7478,-2.96197271,-2.06361055,-11.7166739,-2.97942352,-2.15038157,-11.8576727,-0.443607628,0.193369091,-0.283548385,-0.441116571,0.194597989,-0.281560928,541103648,1663.4478726428933
7481,-2.81463456,-1.86090887,-11.7411032,-2.88635612,-1.97994721,-11.8643761,-0.46219033,0.194290206,-0.292026609,-0.456408471,0.189756647,-0.283940345,541103648,1663.4518726430833
7484,-2.6634655,-1.57440269,-11.7744989,-2.73211694,-1.71323502,-11.9248219,-0.476753175,0.196610242,-0.29780829,-0.46700561,0.192672372,-0.305104136,541103648,1663.4558726432733
