_ID_,sAcc,timeOfWeekMs,velEcef[0],velEcef[1],velEcef[2]
16285,0.239999995,399676400,0.919999957,0.849999964,-0.419999987
16439,0.25,399676600,0.699999988,0.649999976,-0.589999974
16593,0.25,399676800,0.810000002,0.699999988,-0.560000002
16748,0.239999995,399677000,0.75999999,0.449999988,-0.280000001
16902,0.25999999,399677200,0.529999971,0.589999974,-0.519999981
17056,0.269999981,399677400,0.599999964,0.74000001,-0.620000005
17210,0.25,399677600,0.879999995,0.75999999,-0.269999981
17364,0.299999982,399677800,0.5,0.459999979,-0.639999986
17524,0.25999999,399678000,0.769999981,0.659999967,-0.539999962
17679,0.239999995,399678200,0.879999995,0.539999962,-0.25999999
17833,0.25,399678400,0.209999993,0.429999977,-0.179999992
17987,0.310000002,399678600,0.370000005,0.789999962,-0.610000014
18141,0.269999981,399678800,0.479999989,1.03999996,-0.429999977
18299,0.239999995,399679000,0.680000007,0.799999952,-0.370000005
18450,0.289999992,399679200,0.529999971,0.709999979,-0.610000014
18604,0.269999981,399679400,0.849999964,0.779999971,-0.439999998
18755,0.289999992,399679600,0.75999999,0.459999979,-0.469999999
18909,0.289999992,399679800,0.969999969,0.359999985,-0.729999959
19066,0.289999992,399680000,0.979999959,0.329999983,-0.879999995
19217,0.319999993,399680200,1.07999992,-0.0899999961,-0.439999998
19374,0.310000002,399680400,0.889999986,-0.409999996,-0.659999967
19528,0.269999981,399680600,0.930000007,-0.639999986,-0.280000001
19679,0.310000002,399680800,0.909999967,-0.539999962,-0.289999992
19833,0.289999992,399681000,0.75,-0.639999986,-0.349999994
19990,0.25,399681200,0.610000014,-0.899999976,-0.769999981
20144,0.25,399681400,0.799999952,-0.769999981,0.199999988
20295,0.419999987,399681600,1.35000002,-0.669999957,0.0599999987
20452,0.25,399681800,0.959999979,-0.98999995,-0.189999998
20606,0.219999999,399682000,0.709999979,-0.729999959,-0.170000002
20763,0.229999989,399682200,0.899999976,-0.769999981,-0.229999989
20911,0.209999993,399682400,0.799999952,-0.959999979,-0.620000005
21065,0.229999989,399682600,0.979999959,-0.930000007,-0.129999995
21219,0.209999993,399682800,0.75,-0.98999995,-0.389999986
21373,0.189999998,399683000,0.649999976,-1.16999996,-0.0599999987
21527,0.269999981,399683200,0.870000005,-0.969999969,0.170000002
21681,0.219999999,399683400,0.689999998,-1.16999996,-0.439999998
21838,0.269999981,399683600,0.889999986,-1.25999999,-0.149999991
21992,0.289999992,399683800,0.789999962,-1.06999993,0.109999999
22146,0.170000002,399684000,0.329999983,-1.23000002,-0.280000001
22300,0.170000002,399684200,0.729999959,-1.19999993,0.109999999
22454,0.179999992,399684400,0.709999979,-1.03999996,-0.149999991
22608,0.199999988,399684600,0.829999983,-1.19999993,-0.379999995
22759,0.189999998,399684800,0.949999988,-1.06999993,-0.140000001
22919,0.189999998,399685000,0.539999962,-1.01999998,-0.289999992
23070,0.170000002,399685200,0.659999967,-1.25,-0.0799999982
23224,0.179999992,399685400,0.589999974,-0.909999967,0.179999992
23378,0.199999988,399685600,0.569999993,-1.03999996,-0.409999996
23532,0.189999998,399685800,0.919999957,-1.12,-0.399999976
23686,0.199999988,399686000,0.829999983,-1.13,0.179999992
23847,0.199999988,399686200,0.75,-1.11000001,-0.219999999
24001,0.179999992,399686400,0.620000005,-1.33999991,-0.109999999
24155,0.239999995,399686600,0.859999955,-1.02999997,0.0599999987
24309,0.299999982,399686800,0.939999998,-1.09000003,-0.48999998
24464,0.280000001,399687000,0.769999981,-1.28999996,-0.25
