ToWms, noSats, ecef[0], ecef[1], ecef[2], lla[0], lla[1], lla[2], hMSL, hAcc, vAcc, pDop, towOffset
570569400,0,3098536.390000,1011151.100000,5464108.600000,59.352908,18.073154,33.091000,8.848001,0.792000,1.143000,1.190000,553056.515657
570569600,0,3098536.390000,1011151.080000,5464108.510000,59.352907,18.073153,33.009000,8.766001,0.796000,1.147000,1.190000,553056.515657
570569800,0,3098536.400000,1011151.070000,5464108.410000,59.352907,18.073153,32.928000,8.684000,0.795000,1.146000,1.190000,553056.515657
570570000,0,3098536.390000,1011151.050000,5464108.310000,59.352906,18.073153,32.835000,8.591001,0.788000,1.136000,1.210000,553056.515718
570570200,0,3098536.390000,1011151.040000,5464108.240000,59.352906,18.073153,32.772000,8.529000,0.785000,1.131000,1.210000,553056.515718
570570400,0,3098536.400000,1011151.030000,5464108.150000,59.352906,18.073152,32.701000,8.458000,0.788000,1.136000,1.210000,553056.515718
570570600,0,3098536.400000,1011151.020000,5464108.060000,59.352905,18.073152,32.622000,8.379001,0.792000,1.141000,1.210000,553056.515718
570570800,0,3098536.400000,1011151.010000,5464107.970000,59.352905,18.073152,32.543000,8.300000,0.798000,1.149000,1.210000,553056.515718
570571000,0,3098536.400000,1011151.000000,5464107.920000,59.352905,18.073152,32.491000,8.248000,0.800000,1.151000,1.210000,553056.515688
570571200,0,3098536.400000,1011150.990000,5464107.840000,59.352904,18.073152,32.425000,8.182000,0.786000,1.131000,1.210000,553056.515688
570571400,0,3098536.390000,1011150.980000,5464107.760000,59.352904,18.073151,32.352000,8.109000,0.778000,1.118000,1.210000,553056.515688
570571600,0,3098536.390000,1011150.960000,5464107.690000,59.352904,18.073151,32.291000,8.048000,0.773000,1.110000,1.210000,553056.515688
570571800,0,3098536.380000,1011150.950000,5464107.610000,59.352904,18.073151,32.207000,7.964000,0.770000,1.105000,1.210000,553056.515688
570572000,0,3098536.380000,1011150.950000,5464107.540000,59.352903,18.073151,32.154000,7.911000,0.772000,1.108000,1.210000,553056.515749
570572200,0,3098536.380000,1011150.950000,5464107.470000,59.352903,18.073151,32.090000,7.847001,0.771000,1.107000,1.210000,553056.515749
570572400,0,3098536.380000,1011150.940000,5464107.410000,59.352903,18.073151,32.035000,7.792000,0.777000,1.116000,1.210000,553056.515749
570572600,0,3098536.370000,1011150.950000,5464107.390000,59.352903,18.073151,32.018000,7.775001,0.798000,1.146000,1.210000,553056.515749
570572800,0,3098536.370000,1011150.940000,5464107.370000,59.352903,18.073151,31.994000,7.751000,0.796000,1.139000,1.210000,553056.515749
570573000,0,3098536.360000,1011150.930000,5464107.310000,59.352902,18.073151,31.945000,7.702000,0.777000,1.106000,1.210000,553056.515718
570573200,0,3098536.360000,1011150.920000,5464107.260000,59.352902,18.073151,31.898000,7.655000,0.773000,1.100000,1.210000,553056.515718
570573400,0,3098536.360000,1011150.900000,5464107.200000,59.352902,18.073151,31.839000,7.596000,0.766000,1.090000,1.210000,553056.515718
570573600,0,3098536.350000,1011150.890000,5464107.120000,59.352902,18.073150,31.765000,7.521000,0.759000,1.080000,1.210000,553056.515718
570573800,0,3098536.330000,1011150.880000,5464107.040000,59.352901,18.073150,31.688000,7.445000,0.777000,1.105000,1.210000,553056.515718
570574000,0,3098536.320000,1011150.870000,5464106.980000,59.352901,18.073150,31.622000,7.379000,0.783000,1.113000,1.210000,553056.515779
