ToWms, noSats, ecef[0], ecef[1], ecef[2], lla[0], lla[1], lla[2], hMSL, hAcc, vAcc, pDop, towOffset
573354000,0,3098533.920000,1011155.860000,5464109.290000,59.352918,18.073247,33.243000,9.000000,0.459000,0.840000,0.950000,573073.537813
573354200,0,3098533.950000,1011155.860000,5464109.300000,59.352917,18.073246,33.266000,9.023001,0.458000,0.838000,0.950000,573073.537813
573354400,0,3098533.970000,1011155.850000,5464109.300000,59.352917,18.073246,33.274000,9.031000,0.458000,0.835000,0.950000,573073.537813
573354600,0,3098534.000000,1011155.850000,5464109.300000,59.352917,18.073246,33.286000,9.043000,0.457000,0.832000,0.950000,573073.537813
573354800,0,3098534.020000,1011155.840000,5464109.310000,59.352917,18.073246,33.304000,9.061001,0.456000,0.830000,0.950000,573073.537813
573355000,0,3098534.050000,1011155.840000,5464109.320000,59.352917,18.073246,33.326000,9.083000,0.455000,0.827000,0.980000,573073.537874
573355200,0,3098534.070000,1011155.840000,5464109.330000,59.352917,18.073245,33.345000,9.102000,0.453000,0.825000,0.950000,573073.537874
573355400,0,3098534.090000,1011155.850000,5464109.330000,59.352917,18.073245,33.357000,9.114000,0.452000,0.823000,0.950000,573073.537874
573355600,0,3098534.100000,1011155.850000,5464109.330000,59.352916,18.073245,33.363000,9.120001,0.451000,0.820000,0.950000,573073.537874
573355800,0,3098534.120000,1011155.850000,5464109.330000,59.352916,18.073245,33.372000,9.129001,0.450000,0.818000,0.950000,573073.537874
573356000,0,3098534.130000,1011155.850000,5464109.340000,59.352916,18.073245,33.385000,9.142000,0.449000,0.816000,0.980000,573073.537843
573356200,0,3098534.140000,1011155.850000,5464109.340000,59.352916,18.073245,33.390000,9.147000,0.448000,0.814000,0.950000,573073.537843
573356400,0,3098534.150000,1011155.860000,5464109.330000,59.352916,18.073245,33.391000,9.148001,0.447000,0.813000,0.950000,573073.537843
573356600,0,3098534.160000,1011155.860000,5464109.330000,59.352916,18.073245,33.389000,9.146001,0.446000,0.811000,1.000000,573073.537843
573356800,0,3098534.170000,1011155.860000,5464109.320000,59.352916,18.073245,33.382000,9.139001,0.445000,0.810000,0.950000,573073.537843
573357000,0,3098534.180000,1011155.860000,5464109.310000,59.352916,18.073245,33.385000,9.142000,0.444000,0.808000,0.950000,573073.537904
573357200,0,3098534.180000,1011155.860000,5464109.310000,59.352916,18.073245,33.385000,9.142000,0.444000,0.807000,0.940000,573073.537904
573357400,0,3098534.180000,1011155.860000,5464109.320000,59.352916,18.073245,33.392000,9.149000,0.443000,0.805000,0.940000,573073.537904
573357600,0,3098534.180000,1011155.870000,5464109.320000,59.352916,18.073245,33.399000,9.156000,0.442000,0.804000,0.940000,573073.537904
573357800,0,3098534.190000,1011155.880000,5464109.340000,59.352916,18.073245,33.415000,9.172001,0.442000,0.803000,0.940000,573073.537904
573358000,0,3098534.190000,1011155.890000,5464109.340000,59.352916,18.073246,33.422000,9.179001,0.441000,0.801000,0.940000,573073.537874
573358200,0,3098534.200000,1011155.890000,5464109.350000,59.352916,18.073246,33.433000,9.190001,0.441000,0.800000,0.940000,573073.537874
573358400,0,3098534.210000,1011155.900000,5464109.360000,59.352916,18.073246,33.443000,9.200001,0.440000,0.799000,0.940000,573073.537874
573358600,0,3098534.210000,1011155.900000,5464109.370000,59.352916,18.073246,33.458000,9.215000,0.440000,0.798000,0.940000,573073.537874
573358800,0,3098534.220000,1011155.900000,5464109.370000,59.352916,18.073246,33.463000,9.220000,0.440000,0.796000,0.940000,573073.537874
573359000,0,3098534.220000,1011155.900000,5464109.370000,59.352916,18.073246,33.465000,9.222000,0.440000,0.795000,0.940000,573073.537935
573359200,0,3098534.220000,1011155.900000,5464109.370000,59.352916,18.073246,33.466000,9.223001,0.440000,0.794000,0.940000,573073.537935
573359400,0,3098534.230000,1011155.900000,5464109.370000,59.352916,18.073246,33.471000,9.228001,0.440000,0.793000,0.940000,573073.537935
573359600,0,3098534.240000,1011155.910000,5464109.380000,59.352916,18.073246,33.479000,9.236000,0.439000,0.792000,0.920000,573073.537935
573359800,0,3098534.250000,1011155.910000,5464109.370000,59.352915,18.073246,33.483000,9.240001,0.439000,0.791000,0.970000,573073.537935
573360000,0,3098534.260000,1011155.910000,5464109.370000,59.352915,18.073246,33.479000,9.236000,0.439000,0.790000,0.970000,573073.537904
573360200,0,3098534.270000,1011155.950000,5464109.280000,59.352915,18.073246,33.420000,9.177000,1.021000,1.008000,0.970000,573073.537904
573360400,0,3098534.280000,1011155.980000,5464109.200000,59.352914,18.073247,33.356000,9.113001,0.978000,0.978000,0.970000,573073.537904
573360600,0,3098534.290000,1011156.000000,5464109.140000,59.352914,18.073247,33.311000,9.068001,0.942000,0.957000,0.970000,573073.537904
573360800,0,3098534.300000,1011156.020000,5464109.080000,59.352913,18.073247,33.271000,9.028001,0.910000,0.941000,0.970000,573073.537904
573361000,0,3098534.320000,1011156.030000,5464109.040000,59.352913,18.073247,33.242000,8.999001,0.884000,0.929000,0.970000,573073.537965
