_ID_,sAcc,timeOfWeekMs,velEcef[0],velEcef[1],velEcef[2]
9228,350.949982,1534800,0,0,0
9338,350.97998,1535000,0,0,0
9455,351,1535200,0,0,0
9570,351.019989,1535400,0,0,0
9685,351.039978,1535600,0,0,0
9799,351.070007,1535800,0,0,0
9915,351.089996,1536000,0,0,0
10030,351.109985,1536200,0,0,0
10142,351.139984,1536400,0,0,0
10255,351.160004,1536600,0,0,0
10372,351.179993,1536800,0,0,0
10486,351.199982,1537000,0,0,0
10601,351.22998,1537200,0,0,0
10715,351.25,1537400,0,0,0
10824,351.269989,1537600,0,0,0
10934,351.299988,1537800,0,0,0
11049,351.320007,1538000,0,0,0
11162,351.339996,1538200,0,0,0
11272,351.359985,1538400,0,0,0
11386,351.389984,1538600,0,0,0
11496,351.410004,1538800,0,0,0
11608,351.429993,1539000,0,0,0
11721,351.449982,1539200,0,0,0
11834,351.47998,1539400,0,0,0
11944,351.5,1539600,0,0,0
12054,351.519989,1539800,0,0,0
12162,351.549988,1540000,0,0,0
12277,351.570007,1540200,0,0,0
12391,351.589996,1540400,0,0,0
12505,351.609985,1540600,0,0,0
12617,351.639984,1540800,0,0,0
12731,351.660004,1541000,0,0,0
12842,351.679993,1541200,0,0,0
12954,351.699982,1541400,0,0,0
13067,351.72998,1541600,0,0,0
13177,351.75,1541800,0,0,0
13283,351.769989,1542000,0,0,0
13395,351.799988,1542200,0,0,0
13510,351.820007,1542400,0,0,0
13622,351.839996,1542600,0,0,0
13731,351.859985,1542800,0,0,0
13842,351.889984,1543000,0,0,0
13952,351.910004,1543200,0,0,0
14067,351.929993,1543400,0,0,0
14182,351.949982,1543600,0,0,0
14297,351.97998,1543800,0,0,0
14412,352,1544000,0,0,0
14524,352.019989,1544200,0,0,0
14634,352.049988,1544400,0,0,0
14744,352.070007,1544600,0,0,0
14860,352.089996,1544800,0,0,0
14967,352.109985,1545000,0,0,0
15080,352.139984,1545200,0,0,0
15194,352.160004,1545400,0,0,0
15303,352.179993,1545600,0,0,0
