_ID_,hdwStatus,insStatus,lla[0],lla[1],lla[2],qn2b[0],qn2b[1],qn2b[2],qn2b[3],timeOfWeek,uvw[0],uvw[1],uvw[2],week
74380,91,432215511,59.349949895293143,18.067263536656039,88.40507950540632,0.163248092,-0.0233849771,-0.0906600952,0.982132375,399338.97709847451,-0.543173194,0.81027627,0.0609245449,2039
74439,83,432215511,59.349951093533889,18.067262749127408,88.400144305080175,0.120992787,-0.0187726934,-0.0934433416,0.98806715,399339.07713607093,-0.49595505,0.841106474,0.0791519433,2039
74496,83,432215511,59.34995134041138,18.067261080570635,88.393884256482124,0.0753714591,-0.0142007796,-0.0951669142,0.992502272,399339.17720223428,-0.429067135,0.898147941,0.0675034523,2039
74556,83,432215511,59.349952990485413,18.06726050017302,88.389857675880194,0.0280015059,-0.0125158196,-0.093842268,0.995114505,399339.27714339539,-0.4170838,0.906361878,0.0208053291,2039
74613,83,432215511,59.349953327062863,18.067258886902245,88.394048633053899,-0.0198663939,-0.0118965618,-0.0929067954,0.995405555,399339.37715340615,-0.35120222,0.945281804,0.0190189481,2039
74673,82,432215511,59.349954183666085,18.067257948648461,88.400420565158129,-0.0687689781,-0.0101731736,-0.0956459567,0.992984951,399339.47713704745,-0.29890126,0.971862972,0.0375510156,2039
74728,91,432215511,59.349954586046522,18.067256313654084,88.398712868802249,-0.119891644,-0.0062061809,-0.103066169,0.987403154,399339.57719613076,-0.239345819,1.04814899,0.0692148805,2039
74787,91,432215511,59.349955712988169,18.067255614283511,88.399982434697449,-0.176047504,-0.00301672961,-0.102817833,0.978992701,399339.67713729187,-0.234265178,1.10740101,0.0645034611,2039
74842,91,432215511,59.349956300837782,18.067254038568784,88.408562650904059,-0.232064173,-1.11865957e-05,-0.0977811888,0.967773199,399339.77714730264,-0.237723932,1.05414999,0.0632727146,2039
74904,91,432215511,59.349957399331473,18.067253709314912,88.412599075585604,-0.284670383,0.00412183814,-0.0969305634,0.953703463,399339.87713094393,-0.264705569,1.00970864,0.0937696099,2039
74959,83,432215511,59.349958137426157,18.067252538331733,88.411412781104445,-0.337199599,0.0101981992,-0.0937427506,0.936698914,399339.97719002725,-0.272659183,1.02346444,0.149821997,2039
75021,82,432215511,59.349959138759907,18.067252421342332,88.403307929635048,-0.38886705,0.0158847291,-0.0875311568,0.91698885,399340.07710067078,-0.306699663,1.00071692,0.148427576,2039
75077,82,432215511,59.349960018622269,18.067251665080011,88.390427755191922,-0.43871063,0.0197527893,-0.0796115696,0.894877076,399340.17720223428,-0.349748492,1.0299294,0.125632465,2039
75137,83,432215511,59.349960853604422,18.067251667213714,88.386319034732878,-0.488450289,0.0250091739,-0.07625366,0.868893683,399340.27709432284,-0.416806102,1.08751678,0.122250378,2039
75192,91,432215511,59.3499619239578,18.067251427049666,88.385636705905199,-0.536433995,0.0300576389,-0.0725674853,0.840279102,399340.37715340615,-0.466362745,1.11561882,0.126590669,2039
75254,82,432215511,59.349962195587523,18.06725167133612,88.37274201400578,-0.580750287,0.0363042839,-0.068952851,0.810343504,399340.4771016473,-0.485901713,1.08733261,0.158449441,2039
75310,91,432215511,59.3499632736848,18.067251966498702,88.365043747238815,-0.622332871,0.0459572747,-0.0643597394,0.778747439,399340.57710457803,-0.49239403,1.10147786,0.207373917,2039
75373,91,432215511,59.349962179198421,18.067254536688068,88.359649857506156,-0.66229856,0.0589010827,-0.0634464845,0.744221509,399340.6771717167,-0.494250476,1.01698983,0.152218342,2039
75428,83,432215511,59.349963130712915,18.067255279754768,88.356591500341892,-0.698660433,0.0673756748,-0.0617768653,0.709589899,399340.77714730264,-0.48858723,1.02159297,0.127937496,2039
75487,91,432215511,59.349961018174618,18.067256236306989,88.352834042161703,-0.732607007,0.0738853961,-0.0614646636,0.673832297,399340.87709554378,-0.464573622,0.88867259,0.0936920047,2039
75544,83,432215511,59.349961753257119,18.067257216396385,88.35016484092921,-0.763770282,0.0767903626,-0.0569516718,0.638368785,399340.97709847451,-0.432442278,0.865857363,0.137708217,2039
75604,90,432215511,59.349962077766811,18.067258982563661,88.350069312378764,-0.792807281,0.0811613798,-0.0510178283,0.601885915,399341.07722664834,-0.383843303,0.849844515,0.153397948,2039
75657,90,432215511,59.349962745758965,18.067260056322432,88.344955109059811,-0.821453273,0.0862738341,-0.0450099632,0.561912298,399341.17720223428,-0.310124218,0.925393224,0.140210807,2039
75716,82,432215511,59.349961016496934,18.06726172882804,88.348563128151,-0.849878967,0.0899472311,-0.0413928069,0.51759243,399341.27715047542,-0.297037363,0.895123601,0.0834710598,2039
75770,83,432215511,59.349961604721621,18.067262935853957,88.34655069001019,-0.876728594,0.0895048305,-0.0383284502,0.471027374,399341.37715340615,-0.230605125,0.937188983,0.064194411,2039
75833,83,432215511,59.34995982725156,18.067264847550955,88.35946942307055,-0.90211755,0.0884550065,-0.0364998206,0.420746148,399341.47722054482,-0.252179563,0.890017748,0.0280173421,2039
75886,91,432215511,59.349960257484796,18.067266257421988,88.376394595950842,-0.925132811,0.0899561942,-0.0354841202,0.367121518,399341.57719613076,-0.269540489,0.942400217,-0.000731945038,2039
75944,91,432215511,59.349958281433146,18.067266635170935,88.392480824142694,-0.94614315,0.093002826,-0.0350029357,0.308120817,399341.67715145194,-0.390954763,0.896347582,0.00490987301,2039
75998,83,432215511,59.349958374914571,18.067268342577229,88.404024950228631,-0.963409424,0.0950246006,-0.031558264,0.248629719,399341.77714730264,-0.479060113,0.865660906,0.0598407835,2039
76060,83,432215511,59.34995824899211,18.067269448804105,88.402772535569966,-0.977003336,0.0945703685,-0.0241210908,0.189576641,399341.87721444131,-0.56986922,0.850168407,0.14070648,2039
76115,83,432215511,59.349957989488175,18.067271260312406,88.399211788550019,-0.98679769,0.0948865935,-0.0137222083,0.130531773,399341.97719002725,-0.6353423,0.886217713,0.194464073,2039
76175,83,432215511,59.34995777082986,18.067271579291099,88.389171345159411,-0.993134379,0.0918660611,-0.00236850954,0.0723827556,399342.07711483084,-0.686121762,0.904981792,0.198492825,2039
76229,82,432215511,59.349957215660112,18.06727337180018,88.3825156185776,-0.995741725,0.0907309875,0.00756136142,0.0144618219,399342.17711068154,-0.721182048,0.985027194,0.181293696,2039
76288,82,432215511,59.349956857807392,18.067273287809769,88.385283153504133,-0.994642079,0.0925979167,0.0157632604,-0.0431798324,399342.27717782022,-0.74658525,1.03224695,0.151594669,2039
76340,91,432215511,59.349956062097064,18.067274947059438,88.382590157911181,-0.990489304,0.0936939567,0.0211745538,-0.0985104591,399342.37715340615,-0.73966819,1.06748354,0.087921083,2039
