_ID_,cnoMean,ecef[0],ecef[1],ecef[2],hAcc,hMSL,lla[0],lla[1],lla[2],pDop,status,timeOfWeekMs,towOffset,vAcc,week
13744,0,3098979.96,1010919.34,5464018.8200000003,141142.406,0,0,0,0,99.9899979,1073741824,715400,0,99806.8047,0
13858,0,3098979.96,1010919.34,5464018.8200000003,141201.219,0,0,0,0,99.9899979,1073741824,715600,0,99848.3906,0
13970,0,3098979.96,1010919.34,5464018.8200000003,141260.031,0,0,0,0,99.9899979,1073741824,715800,0,99889.9844,0
14079,0,3098979.96,1010919.34,5464018.8200000003,141318.859,0,0,0,0,99.9899979,1073741824,716000,0,99931.5703,0
14190,0,3098979.96,1010919.34,5464018.8200000003,141377.688,0,0,0,0,99.9899979,1073741824,716200,0,99973.1719,0
14304,0,3098979.96,1010919.34,5464018.8200000003,141436.516,0,0,0,0,99.9899979,1073741824,716400,0,100014.797,0
14420,0,3098979.96,1010919.34,5464018.8200000003,141495.359,0,0,0,0,99.9899979,1073741824,716600,0,100056.406,0
14533,0,3098979.96,1010919.34,5464018.8200000003,141554.234,0,0,0,0,99.9899979,1073741824,716800,0,100098.023,0
14649,0,3098979.96,1010919.34,5464018.8200000003,141613.078,0,0,0,0,99.9899979,1073741824,717000,0,100139.656,0
14767,0,3098979.96,1010919.34,5464018.8200000003,141671.938,0,0,0,0,99.9899979,1073741824,717200,0,100181.273,0
14881,0,3098979.96,1010919.34,5464018.8200000003,141730.828,0,0,0,0,99.9899979,1073741824,717400,0,100222.914,0
14989,0,3098979.96,1010919.34,5464018.8200000003,141789.703,0,0,0,0,99.9899979,1073741824,717600,0,100264.563,0
15104,0,3098979.96,1010919.34,5464018.8200000003,141848.594,0,0,0,0,99.9899979,1073741824,717800,0,100306.211,0
15228,0,3098979.96,1010919.34,5464018.8200000003,141907.516,0,0,0,0,99.9899979,1073741824,718000,0,100347.859,0
15339,0,3098979.96,1010919.34,5464018.8200000003,141966.391,0,0,0,0,99.9899979,1073741824,718200,0,100389.516,0
15454,0,3098979.96,1010919.34,5464018.8200000003,142025.328,0,0,0,0,99.9899979,1073741824,718400,0,100431.188,0
15568,0,3098979.96,1010919.34,5464018.8200000003,142084.266,0,0,0,0,99.9899979,1073741824,718600,0,100472.859,0
15682,0,3098979.96,1010919.34,5464018.8200000003,142143.172,0,0,0,0,99.9899979,1073741824,718800,0,100514.531,0
15795,0,3098979.96,1010919.34,5464018.8200000003,142202.141,0,0,0,0,99.9899979,1073741824,719000,0,100556.219,0
15904,0,3098979.96,1010919.34,5464018.8200000003,142261.078,0,0,0,0,99.9899979,1073741824,719200,0,100597.914,0
16017,0,3098979.96,1010919.34,5464018.8200000003,142320.031,0,0,0,0,99.9899979,1073741824,719400,0,100639.602,0
16124,0,3098979.96,1010919.34,5464018.8200000003,142379.016,0,0,0,0,99.9899979,1073741824,719600,0,100681.313,0
16237,0,3098979.96,1010919.34,5464018.8200000003,142437.984,0,0,0,0,99.9899979,1073741824,719800,0,100723.016,0
