_ID_,cnoMean,ecef[0],ecef[1],ecef[2],hAcc,hMSL,lla[0],lla[1],lla[2],pDop,status,timeOfWeekMs,towOffset,vAcc,week
146035,34.7931023,3099237.0100000002,1013412.61,5463308.3899999997,0.523000002,18.0940018,59.338679799999994,18.1071119,42.295000000000002,0.959999979,1074725655,399218200,398016.7211931129,0.824000061,2040
146189,34.896553,3099237.0100000002,1013412.6,5463308.3500000006,0.523000002,18.0610008,59.338679599999999,18.107111799999998,42.262,0.959999979,1074725655,399218400,398016.7211931129,0.824000061,2040
146343,34.8620682,3099237.0300000003,1013412.61,5463308.4100000001,0.523000002,18.1210003,59.338679799999994,18.1071119,42.323,0.959999979,1074725655,399218600,398016.7211931129,0.824000061,2040
146497,34.8275871,3099237.02,1013412.6,5463308.3799999999,0.523000002,18.092001,59.3386797,18.107111700000001,42.294000000000004,0.959999979,1074725655,399218800,398016.7211931129,0.824000061,2040
146651,34.896553,3099237.0300000003,1013412.6,5463308.4100000001,0.523000002,18.1160011,59.338679799999994,18.107111700000001,42.317,0.959999979,1074725655,399219000,398016.72116259532,0.824000061,2040
146805,34.8275871,3099237.02,1013412.59,5463308.4000000004,0.523000002,18.1080017,59.338679799999994,18.1071116,42.308999999999997,0.959999979,1074725655,399219200,398016.72116259532,0.824000061,2040
146959,34.8275871,3099237.02,1013412.59,5463308.4000000004,0.522000015,18.1000004,59.338679799999994,18.107111499999998,42.301000000000002,0.959999979,1074725655,399219400,398016.72116259532,0.824000061,2040
147113,34.7931023,3099237.02,1013412.5800000001,5463308.3799999999,0.522000015,18.0890007,59.338679799999994,18.107111400000001,42.289999999999999,0.959999979,1074725655,399219600,398016.72116259532,0.824000061,2040
147267,34.896553,3099237.0100000002,1013412.5800000001,5463308.3500000006,0.522000015,18.0560017,59.3386797,18.1071113,42.256999999999998,0.959999979,1074725655,399219800,398016.72116259532,0.824000061,2040
147424,34.8620682,3099237.0100000002,1013412.5800000001,5463308.3600000003,0.522000015,18.0630016,59.3386797,18.1071113,42.264000000000003,0.959999979,1074725655,399220000,398016.72122347052,0.824000061,2040
147575,34.7931023,3099237.0100000002,1013412.5700000001,5463308.3600000003,0.522000015,18.0670013,59.338679799999994,18.1071113,42.268000000000001,0.959999979,1074725655,399220200,398016.72122347052,0.824000061,2040
147729,34.8620682,3099237.0100000002,1013412.5700000001,5463308.3700000001,0.522000015,18.0710011,59.338679799999994,18.107111199999999,42.271999999999998,0.959999979,1074725655,399220400,398016.72122347052,0.824000061,2040
147880,34.8620682,3099237.0100000002,1013412.5600000001,5463308.3600000003,0.522000015,18.0650005,59.338679799999994,18.107111100000001,42.265999999999998,0.959999979,1074725655,399220600,398016.72122347052,0.824000061,2040
148037,34.8275871,3099237,1013412.5600000001,5463308.3600000003,0.522000015,18.0600014,59.338679899999995,18.107111100000001,42.261000000000003,0.959999979,1074725655,399220800,398016.72122347052,0.824000061,2040
148191,34.7586212,3099237,1013412.5600000001,5463308.3700000001,0.522000015,18.0610008,59.338679899999995,18.107111199999999,42.262,0.959999979,1074725655,399221000,398016.7211931129,0.824000061,2040
148345,34.7586212,3099236.9900000002,1013412.5700000001,5463308.4199999999,0.523000002,18.1040001,59.338680199999999,18.107111400000001,42.305,0.959999979,1074725655,399221200,398016.7211931129,0.825000048,2040
148499,34.8620682,3099236.96,1013412.5600000001,5463308.3600000003,0.523000002,18.0360012,59.338680099999998,18.1071113,42.237000000000002,0.959999979,1074725655,399221400,398016.7211931129,0.825000048,2040
148653,34.8620682,3099236.96,1013412.5600000001,5463308.3799999999,0.523000002,18.0500011,59.3386803,18.1071113,42.250999999999998,0.959999979,1074725655,399221600,398016.7211931129,0.826000035,2040
148807,34.7241364,3099236.9399999999,1013412.55,5463308.3500000006,0.523000002,18.0200005,59.3386803,18.107111199999999,42.221000000000004,0.959999979,1074725655,399221800,398016.7211931129,0.826000035,2040
148961,34.6551743,3099236.9300000002,1013412.54,5463308.3300000001,0.523000002,17.9920006,59.3386803,18.107111199999999,42.192999999999998,0.959999979,1074725655,399222000,398016.7212539881,0.826000035,2040
149118,34.6551743,3099236.9199999999,1013412.54,5463308.3100000005,0.523000002,17.9680004,59.3386803,18.107111199999999,42.169000000000004,0.959999979,1074725655,399222200,398016.7212539881,0.826000035,2040
149269,34.6896553,3099236.9199999999,1013412.54,5463308.2999999998,0.523000002,17.9610004,59.338680199999999,18.107111199999999,42.161999999999999,0.959999979,1074725655,399222400,398016.7212539881,0.826000035,2040
149423,34.7241364,3099236.9199999999,1013412.53,5463308.29,0.523000002,17.9549999,59.338680199999999,18.107111100000001,42.155999999999999,0.959999979,1074725655,399222600,398016.7212539881,0.827000022,2040
149577,34.7241364,3099236.9199999999,1013412.53,5463308.2999999998,0.523000002,17.9570007,59.338680199999999,18.107111,42.158000000000001,0.959999979,1074725655,399222800,398016.7212539881,0.827000022,2040
149731,34.7241364,3099236.9199999999,1013412.52,5463308.2800000003,0.523000002,17.9470005,59.338680199999999,18.107110899999999,42.148000000000003,0.959999979,1074725655,399223000,398016.72122347052,0.827000022,2040
149883,34.5517235,3099236.9199999999,1013412.52,5463308.2700000005,0.523000002,17.9330006,59.338680099999998,18.107110800000001,42.134,0.959999979,1074725655,399223200,398016.72122347052,0.827000022,2040
