_ID_,bar,barTemp,humidity,mslBar,time
1362,101.286377,47.3154259,1.5488981,3.21566963,529.23583349818364
1365,101.283653,47.3154259,1.19117069,3.44249725,529.24383349856362
1369,101.280922,47.3154259,1.16771185,3.66983414,529.2518334989436
1379,101.286377,47.3154259,1.24395239,3.21566963,529.26783349970356
1385,101.285545,47.3103638,1.31476057,3.28507543,529.27983350027353
1390,101.280922,47.3154259,1.5488981,3.66983414,529.28783350065351
1398,101.286377,47.3154259,1.07973993,3.21566963,529.29580908222124
1401,101.288971,47.330616,1.1663537,2.99940944,529.30380908260122
1406,101.280922,47.3154259,1.43747878,3.66983414,529.3118090829812
1411,101.283653,47.3154259,1.71308863,3.44249725,529.31980908336118
1414,101.291832,47.3154259,1.3905642,2.76152968,529.32780908374116
1421,101.283653,47.3154259,1.37297118,3.44249725,529.33980908431113
1426,101.282646,47.3255539,1.13161719,3.52649069,529.34780908469111
1430,101.276505,47.3053017,1.13927674,4.03801203,529.35580908507109
1433,101.288971,47.330616,1.30124414,2.99940944,529.36380908545107
1438,101.28009,47.3103638,1.37340426,3.73924351,529.37180908583105
1443,101.279228,47.3053017,1.35039759,3.81116819,529.37980908621103
1450,101.280922,47.3154259,1.1090641,3.66983414,529.39178466796875
1455,101.285378,47.3255539,1.17267132,3.29865456,529.39978466834873
1460,101.291832,47.3154259,1.39642859,2.76152968,529.40778466872871
1465,101.286377,47.3154259,1.27913988,3.21566963,529.41578466910869
1468,101.284378,47.3356781,1.46500218,3.3821435,529.42378466948867
1473,101.285378,47.3255539,0.961530566,3.29865456,529.43178466986865
1480,101.286377,47.3154259,1.30259788,3.21566963,529.44378467043862
1491,101.282646,47.3255539,0.984991252,3.52649069,529.45978467119858
1495,101.28009,47.3103638,1.58451331,3.73924351,529.46778467157856
1499,101.282646,47.3255539,1.23131919,3.52649069,529.47578467195854
1502,101.288101,47.3255539,1.11402237,3.07183075,529.48378467233852
1510,101.285378,47.3255539,1.28996611,3.29865456,529.49176025390625
1516,101.280922,47.3154259,1.80690825,3.66983414,529.50376025447622
1520,101.283653,47.3154259,1.39642859,3.44249725,529.5117602548562
1525,101.282646,47.3255539,1.59491444,3.52649069,529.51976025523618
1535,101.286377,47.3154259,1.32605577,3.21566963,529.53576025599614
1538,101.283653,47.3154259,1.68963325,3.44249725,529.54376025637612
1545,101.288101,47.3255539,1.06710255,3.07183075,529.55576025694609
1548,101.286377,47.3154259,1.3671068,3.21566963,529.56376025732607
1553,101.284378,47.3356781,1.0837903,3.3821435,529.57176025770605
1557,101.28009,47.3103638,1.11536479,3.73924351,529.57976025808603
1562,101.284378,47.3356781,1.37703383,3.3821435,529.58776025846601
1568,101.285378,47.3255539,1.54800105,3.29865456,529.59582739276811
1572,101.282646,47.3255539,1.81774437,3.52649069,529.60382739314809
1580,101.277199,47.3255539,1.50108695,3.98016882,529.61582739371806
1583,101.288101,47.3255539,1.28996611,3.07183075,529.62382739409804
1588,101.282646,47.3255539,1.31342471,3.52649069,529.63182739447802
1593,101.280922,47.3154259,1.29673338,3.66983414,529.639827394858
1602,101.283653,47.3154259,1.27913988,3.44249725,529.65582739561796
1610,101.282646,47.3255539,1.55972946,3.52649069,529.66782739618793
1614,101.284378,47.3356781,0.960620582,3.3821435,529.67582739656791
1617,101.289833,47.3356781,1.23041511,2.92799449,529.68382739694789
1625,101.280922,47.3154259,0.909654498,3.66983414,529.69180297851563
1630,101.288101,47.3255539,1.51281559,3.07183075,529.6998029788956
1635,101.283516,47.330616,1.57100952,3.45406532,529.70780297927558
