_ID_,sAcc,timeOfWeekMs,velEcef[0],velEcef[1],velEcef[2]
5865,3.25999999,316338400,0.0299999993,-0.379999995,-0.389999986
5977,3.08999991,316338600,-0.0199999996,-0.280000001,-0.119999997
6092,2.37999988,316338800,0.159999996,-0.319999993,-0.170000002
6211,2.73000002,316339000,0.049999997,-0.00999999978,0.149999991
6327,2.03999996,316339200,0.209999993,-0.25,-0.159999996
6446,3.42999983,316339400,0.159999996,0.119999997,0.310000002
6564,3.5999999,316339600,0.280000001,0.340000004,0.48999998
6679,2.01999998,316339800,0.0599999987,-0.049999997,0.099999994
6796,1.75999999,316340000,0.140000001,-0.219999999,-0.049999997
6912,1.11000001,316340200,-0.099999994,-0.0599999987,0.0899999961
7025,3.39999986,316340400,-0.0299999993,-0.149999991,-0.0899999961
7133,3.53999996,316340600,-0.209999993,-0.620000005,-0.539999962
7252,3.37999988,316340800,-0.179999992,-0.50999999,-0.25999999
7369,2.25,316341000,-0.189999998,-0.149999991,0.0399999991
7495,3.00999999,316341200,0.329999983,0.109999999,0.149999991
7607,1.11000001,316341400,0.299999982,-0.189999998,-0.0199999996
7727,2.33999991,316341600,0.199999988,-0.0599999987,0.159999996
7842,3.38999987,316341800,0.049999997,0.469999999,0.680000007
7959,3.31999993,316342000,0.00999999978,0.209999993,0.349999994
8070,1.89999998,316342200,-0.0199999996,-0.179999992,0.0399999991
8182,1.90999997,316342400,0.0399999991,-0.0899999961,-0.00999999978
8297,2.75,316342600,-0.370000005,-0.389999986,0
8409,1.76999998,316342800,-0.199999988,-0.229999989,0.119999997
8523,2.86999989,316343000,0.129999995,0,0.329999983
8640,1.76999998,316343200,0.0899999961,-0.140000001,0.310000002
8758,2.73000002,316343400,0.189999998,-0.0199999996,0.399999976
8875,3.05999994,316343600,0.0700000003,0.0299999993,0.189999998
8987,1.38999999,316343800,-0.149999991,0.0399999991,0.140000001
9102,2.25999999,316344000,0.0199999996,-0.0199999996,0.0700000003
9211,3.1099999,316344200,-0.219999999,-0.140000001,-0.0899999961
9330,2.02999997,316344400,0.0299999993,-0.0299999993,0.099999994
9445,3.42999983,316344600,0.109999999,0.179999992,0.239999995
9560,1.19999993,316344800,0.159999996,-0.109999999,-0.0700000003
9675,2.99000001,316345000,0.280000001,0.219999999,0.099999994
9789,2.62999988,316345200,0.189999998,0.0199999996,0.0799999982
9907,3.30999994,316345400,0.170000002,0.299999982,0.219999999
10020,2.81999993,316345600,0.0700000003,0.00999999978,0.0799999982
10135,3.27999997,316345800,-0.159999996,-0.449999988,-0.340000004
10254,3.30999994,316346000,-0.229999989,-0.329999983,-0.219999999
10370,3.21000004,316346200,0.0399999991,0.0299999993,0.0799999982
10489,0.949999988,316346400,0,-0.140000001,0.179999992
10602,1.19999993,316346600,-0.140000001,-0.140000001,0.389999986
10713,2.5,316346800,0.0399999991,0.0299999993,0.769999981
10827,3.04999995,316347000,0.170000002,0.25999999,0.810000002
10945,3.26999998,316347200,0.25,0.359999985,0.709999979
11061,2.3499999,316347400,0,-0.00999999978,0.48999998
11174,1.11000001,316347600,0.149999991,-0.199999988,0.189999998
11291,1.92999995,316347800,-0.00999999978,-0.0799999982,0.409999996
11408,2.82999992,316348000,-0.0399999991,0.299999982,0.74000001
11524,2.95000005,316348200,0.0199999996,0.25,0.599999964
11640,1.23000002,316348400,-0.149999991,-0.099999994,0.349999994
11757,1.05999994,316348600,-0.219999999,-0.129999995,0.179999992
11874,2.25,316348800,-0.359999985,-0.229999989,0.0399999991
11994,2,316349000,-0.399999976,-0.179999992,0.0700000003
12104,2.99000001,316349200,-0.0899999961,-0.340000004,-0.119999997
12218,2.73000002,316349400,-0.269999981,-0.359999985,-0.0299999993
12335,1.69999993,316349600,-0.109999999,-0.179999992,0.0799999982
12447,3.01999998,316349800,-0.049999997,-0.409999996,-0.209999993
12564,3,316350000,-0.0700000003,-0.049999997,-0.0299999993
12680,2.45000005,316350200,-0.370000005,-0.049999997,-0.109999999
12801,3.19999981,316350400,-0.119999997,-0.189999998,-0.0899999961
12915,3.08999991,316350600,-0.0199999996,-0.269999981,-0.219999999
13032,2.06999993,316350800,0.0799999982,-0.179999992,-0.0700000003
13153,1.18999994,316351000,-0.0299999993,-0.0199999996,0.0599999987
13276,3.01999998,316351200,-0.239999995,-0.319999993,-0.109999999
13393,1.91999996,316351400,-0.0599999987,-0.0199999996,0.280000001
13509,2.89999986,316351600,-0.099999994,-0.389999986,-0.119999997
13625,2.79999995,316351800,0.119999997,0.049999997,0.409999996
13735,3.11999989,316352000,0.209999993,0.189999998,0.599999964
13846,3.05999994,316352200,0.209999993,0.129999995,0.539999962
13966,3.00999999,316352400,0.239999995,0.119999997,0.620000005
14083,2.31999993,316352600,0,-0.00999999978,0.389999986
14195,3.12999988,316352800,0.409999996,0.149999991,0.519999981
14310,3.02999997,316353000,0.199999988,0.129999995,0.589999974
14423,1.36000001,316353200,0.0399999991,-0.159999996,0.280000001
14540,2.45000005,316353400,0.00999999978,0.0299999993,0.659999967
14653,2.18000007,316353600,-0.099999994,0.0299999993,0.529999971
14767,1.76999998,316353800,-0.119999997,-0.0399999991,0.449999988
14883,1.32999992,316354000,0.049999997,-0.179999992,0.310000002
14997,1.54999995,316354200,-0.109999999,-0.299999982,0.129999995
15114,2.04999995,316354400,-0.189999998,-0.25999999,0.0799999982
15235,2.5,316354600,0.0799999982,-0.0199999996,0.170000002
15347,2.74000001,316354800,0.099999994,0.0199999996,0.310000002
15464,1.63999999,316355000,0.0799999982,-0.289999992,0.00999999978
15578,1.13999999,316355200,-0.0299999993,-0.109999999,0.209999993
15693,1.36000001,316355400,-0.129999995,-0.0399999991,0.280000001
15808,2.8499999,316355600,-0.0299999993,-0.319999993,-0.119999997
15919,2.90999985,316355800,0,-0.819999993,-0.379999995
16040,1.88999999,316356000,-0.140000001,-0.239999995,0.0799999982
16156,0.879999995,316356200,0.140000001,-0.199999988,0.119999997
16274,0.789999962,316356400,-0.0599999987,-0.159999996,0.149999991
16391,1.79999995,316356600,0.140000001,-0.119999997,0.229999989
16508,3.1099999,316356800,0.299999982,0.109999999,0.539999962
16621,3.28999996,316357000,0.370000005,0.329999983,0.879999995
16738,3.16999984,316357200,0.25,0.119999997,0.48999998
16849,2.89999986,316357400,0.149999991,0.0299999993,0.379999995
16964,2.97000003,316357600,0.049999997,-0.349999994,-0.209999993
17080,1.15999997,316357800,-0.269999981,-0.140000001,0.189999998
17193,3.17999983,316358000,0.319999993,0.099999994,0.550000012
17306,2.39999986,316358200,0.0700000003,-0.0599999987,0.48999998
17423,1.25,316358400,-0.0399999991,-0.170000002,0.349999994
17534,2.81999993,316358600,-0.219999999,-0.48999998,-0.0199999996
17653,2.0999999,316358800,-0.229999989,-0.399999976,0.119999997
17771,0.959999979,316359000,0.159999996,-0.349999994,0.140000001
17884,1.61000001,316359200,-0.349999994,-0.239999995,0.189999998
17999,0.779999971,316359400,-0.0899999961,-0.239999995,0.269999981
18113,0.789999962,316359600,-0.0799999982,-0.189999998,0.219999999
18232,2.06999993,316359800,0.0899999961,-0.310000002,-0.0199999996
18349,0.819999993,316360000,0.0799999982,-0.289999992,0.179999992
18462,2.8499999,316360200,-0.0899999961,-0.399999976,-0.0599999987
18575,1.29999995,316360400,-0.109999999,-0.179999992,0.119999997
18693,2.12999988,316360600,-0.0199999996,-0.0199999996,0.229999989
18809,2.98000002,316360800,0.0799999982,0.0899999961,0.399999976
18928,0.930000007,316361000,-0.140000001,-0.269999981,0.25
19045,2.55999994,316361200,-0.0700000003,-0.319999993,-0.00999999978
19165,2,316361400,-0.0599999987,-0.0599999987,0.48999998
